Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
India,IND,Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100),IQ.SPI.PIL5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,55,
India,IND,CPIA social protection rating (1=low to 6=high),IQ.CPA.PROT.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,,,,,,,
India,IND,"Trademark applications, resident, by count",IP.TMK.RSCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63906,73308,88210,117014,119371,134403,172120,176386,176044,183172,200144,250586,264662,242483,297751,322297,
India,IND,Investment in energy with private participation (current US$),IE.PPI.ENGY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613600000,13400000,1050700000,314800000,1008300000,1553100000,1027500000,1066300000,2527500000,1953780000,240000000,390320000,925070000,4268670000,979440000,5534550000,10236450000,12889380000,24503850000,34474510000,22038050000,9246100000,3104900000,2816630000,2086940000,1686930000,1311630000,1639510000,856350000,3389000000
India,IND,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7,35,30,28.5,29.8,16.5,17.5,
India,IND,Firms that spend on R&D (% of firms),IC.FRM.RSDV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.7,,,,,,
India,IND,"Cost to export, documentary compliance (US$)",IC.EXP.CSDC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.6786,101.6786,91.88,91.88,77.65,57.95,
India,IND,"Human capital index (HCI), female, upper bound (scale 0-1)",HD.HCI.OVRL.UB.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.461,0.496322334,,0.505454302
India,IND,Interest payments (% of revenue),GC.XPN.INTP.RV.ZS,,,,,,,,,,,,,,,10.338916,10.27338744,11.46722963,11.59470451,12.7770136,12.92572835,13.78003301,14.07324403,15.56303116,17.46056659,19.01138124,19.62412466,20.58655494,22.39896189,23.93479664,24.45901542,27.63914483,28.92360829,29.49985786,33.97427057,33.63761766,31.88935352,32.15118883,32.94177155,37.40530932,37.15798613,38.91241532,40.93629059,39.46951335,36.05854227,31.90673024,28.57095349,25.63898016,23.37026402,26.53850237,28.46290689,22.82578753,22.86838944,24.90866525,25.68915783,27.18508476,25.20961764,24.21056088,24.2919369,23.01130625,,
India,IND,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,,,,,,,,,,,,,,,12420000000,13360000000,14250000000,15950000000,21970000000,27960000000,32920000000,42390000000,50520000000,55010000000,69590000000,94430000000,1.1375E+11,1.3631E+11,1.5752E+11,1.7998E+11,2.0608E+11,2.1978E+11,2.3269E+11,2.191E+11,2.6201E+11,3.5148E+11,4.2637E+11,3.9846E+11,4.0225E+11,4.8107E+11,4.7174E+11,4.0031E+11,4.4674E+11,4.8458E+11,5.7422E+11,6.488E+11,8.6067E+11,1.02799E+12,9.8099E+11,8.3243E+11,1.3568E+12,1.49261E+12,1.86624E+12,1.87264E+12,1.87976E+12,2.10216E+12,2.23263E+12,1.35142E+12,1.12388E+12,,
